Period,Category,Inflation Rate
February 2014,Food Away from home,0.287598632888092
March 2014,Food Away from home,0.280680945785104
April 2014,Food Away from home,0.2657182900055922
May 2014,Food Away from home,0.1688656911777801
June 2014,Food Away from home,0.1988288055752706
July 2014,Food Away from home,0.3079152327476966
August 2014,Food Away from home,0.2371493920789614
September 2014,Food Away from home,0.307845044655548
October 2014,Food Away from home,0.2115177395538177
November 2014,Food Away from home,0.3532457188371168
December 2014,Food Away from home,0.2543782020501022
February 2015,Food Away from home,0.2695258005746147
March 2015,Food Away from home,0.1533192232351578
April 2015,Food Away from home,0.2435972106348481
May 2015,Food Away from home,0.2335834049786629
June 2015,Food Away from home,0.2052310415867026
July 2015,Food Away from home,0.0230607474809055
August 2015,Food Away from home,0.2125788866962392
September 2015,Food Away from home,0.5385086313457926
October 2015,Food Away from home,0.2067253616724258
November 2015,Food Away from home,0.1710771279169259
December 2015,Food Away from home,0.1128262591526335
February 2016,Food Away from home,0.1388685864639633
March 2016,Food Away from home,0.2166572551369529
April 2016,Food Away from home,0.2430208177612242
May 2016,Food Away from home,0.2129880657854045
June 2016,Food Away from home,0.1736150858154506
July 2016,Food Away from home,0.1988351763043288
August 2016,Food Away from home,0.2273323423974869
September 2016,Food Away from home,0.1718193507276623
October 2016,Food Away from home,0.1351750460049631
November 2016,Food Away from home,0.0907513073860254
December 2016,Food Away from home,0.1530039781034203
February 2017,Food Away from home,0.205578042611393
March 2017,Food Away from home,0.1608995371794313
April 2017,Food Away from home,0.2235494561045402
May 2017,Food Away from home,0.1778428705931579
June 2017,Food Away from home,0.036176751402329
July 2017,Food Away from home,0.158076241961032
August 2017,Food Away from home,0.324959333554188
September 2017,Food Away from home,0.3083236247875933
October 2017,Food Away from home,0.112815467185497
November 2017,Food Away from home,0.1825181594484446
December 2017,Food Away from home,0.2430371157136926
February 2018,Food Away from home,0.2430601381373495
March 2018,Food Away from home,0.1089838535666618
April 2018,Food Away from home,0.2411108635056672
May 2018,Food Away from home,0.3330988764290795
June 2018,Food Away from home,0.181978663818928
July 2018,Food Away from home,0.1149350272653466
August 2018,Food Away from home,0.1894069714803167
September 2018,Food Away from home,0.2204968046036684
October 2018,Food Away from home,0.0919720981901317
November 2018,Food Away from home,0.2857523791678251
December 2018,Food Away from home,0.3999195130539764
February 2019,Food Away from home,0.3541622084314127
March 2019,Food Away from home,0.1826756653978918
April 2019,Food Away from home,0.3231791462536411
May 2019,Food Away from home,0.2107511368538687
June 2019,Food Away from home,0.3253421032202406
July 2019,Food Away from home,0.2022397613922697
August 2019,Food Away from home,0.2162230467090871
September 2019,Food Away from home,0.2588377868143253
October 2019,Food Away from home,0.1903956736513404
November 2019,Food Away from home,0.1617902932797746
December 2019,Food Away from home,0.2865050216706338
